3.225s org.kylin.kaiming.service
 706ms biometric-authentication.service
 703ms NetworkManager-wait-online.service
 546ms NetworkManager.service
 516ms accounts-daemon.service
 408ms udisks2.service
 335ms dev-sda5.device
 327ms loadcpufreq.service
 318ms kysdk-conf2.service
 273ms lightdm.service
 259ms avahi-daemon.service
 255ms plymouth-quit-wait.service
 224ms kylin-daq.service
 221ms grub-common.service
 215ms data.mount
 207ms kysdk-dbus.service
 198ms systemd-udev-trigger.service
 197ms e2scrub_reap.service
 173ms user@1000.service
 147ms lm-sensors.service
 144ms samba-ad-dc.service
 124ms polkit.service
 122ms dnsmasq.service
 116ms kylin-core-dump-monitor.service
 115ms rsyslog.service
 113ms systemd-logind.service
 105ms kylin-fix-boot-grub.service
 101ms dbus.service
  95ms systemd-journald.service
  91ms cpufrequtils.service
  89ms ssh.service
  88ms conf2-compile.service
  75ms networking.service
  69ms ostree-extra-restore.service
  67ms alsa-restore.service
  67ms grub-initrd-fallback.service
  66ms modprobe@drm.service
  64ms ostree-logfile-prepare.service
  63ms pppd-dns.service
  62ms kysdk-systime.service
  61ms ostree-boot-bind.service
  58ms cups.service
  57ms systemd-user-sessions.service
  55ms ostree-maintain-daemon.service
  55ms modprobe@dm_mod.service
  54ms modprobe@nvme_fabrics.service
  52ms systemd-resolved.service
  51ms upower.service
  47ms dev-mqueue.mount
  47ms dev-hugepages.mount
  47ms modprobe@loop.service
  46ms sys-kernel-tracing.mount
  46ms ukui-system-service-manager.service
  46ms sys-kernel-debug.mount
  45ms systemd-modules-load.service
  43ms systemd-hostnamed.service
  43ms wpa_supplicant.service
  42ms boot.mount
  41ms kmod-static-nodes.service
  40ms modprobe@configfs.service
  40ms kylin-journal-flush.service
  40ms kylin-nm-sysdbus.service
  39ms plymouth-start.service
  38ms kylin-process-manager-daemon.service
  36ms systemd-update-utmp-runlevel.service
  36ms modprobe@efi_pstore.service
  35ms modprobe@fuse.service
  34ms systemd-udevd.service
  34ms systemd-tmpfiles-setup.service
  31ms openvpn.service
  31ms systemd-timesyncd.service
  30ms systemd-random-seed.service
  29ms systemd-binfmt.service
  28ms systemd-tmpfiles-setup-dev-early.service
  27ms systemd-remount-fs.service
  25ms plymouth-read-write.service
  25ms ostree-remount.service
  21ms user-runtime-dir@1000.service
  20ms dev-disk-by\x2duuid-268e8788\x2d6158\x2d413a\x2d904d\x2dbcc8163add5c.swap
  20ms dns-clean.service
  16ms systemd-sysctl.service
  14ms nvmf-autoconnect.service
  13ms root.mount
  12ms systemd-update-utmp.service
  12ms sys-kernel-config.mount
  12ms Preload-casper.service
  11ms run-vmblock\x2dfuse.mount
  11ms proc-sys-fs-binfmt_misc.mount
   7ms home.mount
   7ms open-vm-tools.service
   6ms sys-fs-fuse-connections.mount
   5ms systemd-tmpfiles-setup-dev.service
   5ms ifupdown-pre.service
  15us systemd-journal-flush.service
